N,P,K,temperature,humidity,ph,rainfall,label
23,52,26,31.440158,75.040967,7.030136,52.291663,mothbeans
25,21,10,22.025388,91.50115,7.148421,123.847854,orange
20,15,26,31.30474,51.061596,6.152959,82.339288,mango
104,24,38,23.464488,50.429136,6.508001,145.409574,coffee
21,52,10,27.821752,47.086148,6.903181,47.743034,mothbeans
57,75,24,32.130142,62.793575,7.477833,62.521385,blackgram
18,19,26,20.425527,89.607552,5.749075,77.725956,pomegranate
70,57,22,27.397744,72.984081,6.262612,70.638191,maize
21,59,27,23.278739,39.13185,6.485058,71.348751,mothbeans
115,18,16,22.557089,82.593596,7.260706,64.540107,cotton
38,53,52,36.480117,93.441589,6.313733,134.254693,papaya
18,58,22,32.357012,63.134198,5.518026,133.543448,pigeonpeas
29,44,18,28.638841,69.606146,6.4509,43.3618,mothbeans
20,67,25,18.267616,16.84205,5.336898,140.109514,kidneybeans
98,24,22,21.340775,49.727599,6.678007,141.952399,coffee
53,71,23,26.702622,68.882016,6.510446,45.456941,blackgram
16,71,17,17.251215,52.114994,6.555697,47.55025,lentil
13,14,32,28.981235,93.30443,5.964605,156.584913,coconut
85,38,52,23.74902,80.899793,6.407367,273.382556,rice
17,15,8,22.498756,89.287907,6.403568,126.057572,orange
107,20,53,30.811388,89.596585,7.429101,20.773017,muskmelon
93,12,56,24.218268,87.438072,6.488473,39.230035,watermelon
28,55,21,19.55669,19.76329,5.224133,125.474191,kidneybeans
77,19,62,25.48739,84.264643,6.379281,54.153173,watermelon
94,84,26,29.96559,79.606933,5.661401,110.74528,banana
19,61,26,26.007535,37.598593,5.898066,130.779367,pigeonpeas
20,46,15,29.149099,56.806479,6.836139,59.567691,mothbeans
109,80,51,26.07795,78.509572,6.690278,102.666839,banana
56,68,33,19.269753,78.316497,7.189432,137.514603,jute
123,47,21,28.283438,79.581014,6.817883,85.318741,cotton
11,16,54,19.740408,93.792109,5.810199,112.981456,pomegranate
18,80,13,30.646943,54.132475,5.540302,134.670633,pigeonpeas
34,57,85,14.212069,18.538853,7.620164,84.901171,chickpea
103,39,31,20.626677,80.312251,7.074788,93.493965,maize
22,15,34,29.667377,98.939895,5.838908,201.903897,coconut
25,15,45,17.879639,95.144477,6.576927,95.264691,pomegranate
95,66,29,23.725185,85.030031,5.996765,281.11979,rice
23,73,21,31.113594,48.895979,6.052983,183.60771,pigeonpeas
15,137,205,21.570673,80.739212,6.247927,72.623229,grapes
43,60,17,29.733626,56.711255,6.504796,58.076878,blackgram
22,24,28,29.489961,99.140904,5.753359,174.04226,coconut
36,79,80,18.692236,21.746748,6.748153,89.018101,chickpea
42,68,14,28.187109,55.785064,6.744269,85.792182,blackgram
21,10,30,29.286318,95.132678,6.075181,183.306733,coconut
93,48,22,20.808847,63.046747,5.798163,86.973349,maize
107,78,49,28.544891,86.155819,5.775228,94.080656,banana
8,57,19,25.239924,52.605848,6.755954,35.402902,mothbeans
100,82,75,27.889914,83.487541,6.18049,93.62214,banana
22,68,13,18.66848,22.768843,6.112232,101.983246,kidneybeans
8,21,49,21.650864,89.351891,6.054408,101.491941,pomegranate
47,68,80,18.638877,16.514387,7.42322,69.579303,chickpea
14,28,42,24.345758,97.959614,6.000885,177.637958,coconut
25,12,7,26.632531,92.263178,6.331467,121.05947,orange
18,81,18,21.155643,52.612253,5.799843,210.405866,pigeonpeas
82,65,45,25.580639,82.764612,6.539654,104.715918,banana
104,85,44,29.263332,79.72352,6.475691,112.591748,banana
12,121,189,21.82701,92.932176,5.900168,75.537408,apple
25,48,12,20.052896,23.266538,5.778917,116.257617,kidneybeans
96,13,47,27.673746,93.310523,7.10593,32.294372,muskmelon
7,47,27,27.524589,83.685454,7.102863,46.100334,mungbean
15,48,21,24.770642,29.296956,6.949824,55.674793,mothbeans
25,16,34,27.927638,92.814682,5.666308,171.808307,coconut
85,50,17,28.008954,72.712697,7.019558,77.258281,maize
29,129,205,23.625087,91.232913,6.029855,97.829984,apple
32,15,20,25.410457,94.760638,6.213714,171.02184,coconut
14,72,15,20.251911,18.558312,5.229762,117.590592,kidneybeans
21,47,18,25.779886,49.705607,6.78885,64.369555,mothbeans
18,30,20,30.615628,77.420291,6.937012,25.031279,mungbean
23,74,8,24.192159,65.396077,6.836585,62.67717,lentil
104,21,58,28.989513,87.687447,6.699644,40.04897,watermelon
9,57,24,27.001285,88.791131,5.771874,40.703926,mungbean
20,63,20,23.633757,59.934937,5.209063,128.751979,pigeonpeas
8,71,26,31.124477,39.482969,6.882528,139.934582,pigeonpeas
20,70,19,29.504698,53.640578,5.435864,190.590482,pigeonpeas
25,72,19,21.759465,25.334039,4.817774,105.478061,kidneybeans
70,44,28,24.647313,64.486893,6.68194,59.806105,maize
67,56,46,28.426598,78.815298,6.827648,171.295133,jute
53,69,78,22.251126,16.856643,7.472769,101.787013,chickpea
13,129,181,23.029852,93.400257,5.666992,106.958324,apple
19,13,12,23.111658,90.044512,7.299879,102.067565,orange
110,45,24,28.441983,76.085055,7.876715,79.398758,cotton
74,50,47,26.650712,85.820569,6.337729,269.796951,rice
21,14,30,26.345273,93.441556,6.147385,197.072844,coconut
20,118,205,25.459657,77.801658,6.447886,76.848294,grapes
18,65,16,26.006451,73.005057,6.532792,29.857484,lentil
97,17,51,24.972205,83.47854,6.649625,39.14798,watermelon
29,135,188,26.275427,83.770027,6.240355,64.60129,grapes
12,140,205,24.726295,83.44919,5.698699,72.552248,grapes
33,74,23,32.677715,63.768314,6.116337,68.472373,blackgram
15,17,38,23.960621,90.991682,7.173344,114.483248,pomegranate
55,58,77,20.67363,16.266609,7.232742,89.53127,chickpea
21,23,33,25.670208,98.27581,5.854449,152.363545,coconut
77,46,29,22.775223,64.842898,6.659538,57.057474,maize
15,58,13,26.428504,74.547842,6.881628,34.729102,lentil
24,132,203,28.002494,83.205635,5.703599,66.584737,grapes
73,18,46,26.330372,88.288813,6.64498,47.553803,watermelon
68,45,41,26.663493,80.049985,6.756204,151.69983,jute
97,36,30,26.750596,58.431143,6.923251,148.795091,coffee
113,35,17,25.836458,60.073061,7.314304,165.047268,coffee
13,71,11,20.175876,23.553409,5.206991,114.094818,kidneybeans
69,47,39,25.47966,83.238952,6.784552,164.39582,jute
15,42,8,29.40227,54.922544,7.201064,75.843124,mothbeans
21,62,20,17.037785,24.365405,5.863905,144.251744,kidneybeans
109,50,56,26.20072,85.694741,6.243952,73.574364,banana
29,58,20,18.566687,25.270707,5.992748,84.159112,kidneybeans
20,15,22,28.146245,94.727105,5.702201,149.465266,coconut
50,53,47,28.83165,95.480216,6.08519,140.848929,papaya
23,74,51,31.768408,93.739769,7.007004,133.146154,papaya
34,31,20,28.385219,85.361798,6.265549,41.646396,mungbean
24,25,32,31.58508,59.169505,5.951219,91.812402,mango
17,23,39,20.126408,85.622613,6.059646,121.404578,pomegranate
118,23,48,29.935105,90.743601,6.906157,53.388875,watermelon
20,63,14,21.466658,24.175353,5.92092,94.671407,kidneybeans
77,54,19,21.593352,69.400417,5.648317,84.640083,maize
24,130,202,18.70082,92.796611,5.95849,120.353783,apple
28,57,20,28.097297,60.995094,8.079919,96.504026,blackgram
47,65,89,22.187286,17.680966,7.389296,82.903849,chickpea
18,131,201,24.226669,77.090349,6.285903,54.777686,grapes
23,126,205,23.149782,85.073882,5.882693,78.829776,grapes
100,74,55,26.937881,82.6785,5.993811,72.563002,banana
105,54,24,24.844279,78.988304,6.535488,70.651706,cotton
85,52,54,22.263112,79.944532,6.548458,229.071964,rice
23,25,38,17.545835,86.610872,6.349387,111.313459,pomegranate
12,54,11,28.836031,79.320251,6.224415,58.42527,mungbean
99,55,50,24.824789,78.9482,5.607685,135.267223,banana
75,49,36,27.302834,79.268797,6.435847,177.911589,jute
17,55,21,29.501663,87.045531,6.281552,55.054271,mungbean
83,43,25,24.329924,73.844207,5.606201,85.132998,maize
57,58,73,15.138199,14.3,7.049313,58.342178,chickpea
46,66,67,18.599047,17.340379,8.19252,68.559128,chickpea
48,50,73,18.026708,17.599648,7.49868,65.396807,chickpea
25,141,205,21.010682,90.247515,6.035967,127.148398,apple
67,66,50,23.662974,81.571879,6.204958,236.417879,rice
22,88,22,17.515475,20.948949,5.360946,105.870293,kidneybeans
38,54,41,33.034468,89.688916,6.655854,165.77334,papaya
115,17,41,25.196728,63.622162,6.942988,150.274646,coffee
38,67,17,26.657758,74.55711,7.167083,58.334896,blackgram
22,72,13,21.585365,21.857061,5.341972,88.913685,kidneybeans
27,22,27,29.349419,52.911807,4.981025,107.509101,mango
21,35,30,29.877709,50.18537,6.122671,96.289414,mango
23,26,28,26.220482,95.107057,5.592698,194.034129,coconut
53,53,54,30.235183,95.670014,7.335958,126.991908,papaya
23,145,199,23.240116,87.992824,5.648117,106.657499,apple
34,67,88,18.142051,17.761372,7.257621,87.582052,chickpea
20,23,35,21.876191,92.716459,6.620407,111.814963,pomegranate
50,68,84,21.590018,18.582758,7.234773,56.693619,chickpea
95,12,37,27.454656,91.775533,5.603544,45.75909,muskmelon
10,130,196,21.501747,87.315221,5.949177,104.630841,apple
108,24,53,27.913598,92.312263,6.313845,22.894219,muskmelon
98,23,49,28.030792,92.506235,6.686905,20.2,muskmelon
23,22,27,29.212766,43.926689,5.644573,58.28944,mango
19,24,31,32.097638,56.256257,5.454286,107.044863,mango
130,59,17,22.611413,75.228837,7.506539,77.492777,cotton
13,9,26,27.586917,93.007333,5.913427,141.095557,coconut
11,21,42,16.676214,93.691504,6.161008,87.176663,pomegranate
58,50,30,22.757923,76.782122,5.411342,228.627708,rice
88,17,51,27.352921,92.410341,6.013914,24.814691,muskmelon
112,36,30,25.53664,56.827328,6.213585,175.620916,coffee
38,40,43,37.89696,92.245557,6.975976,122.241011,papaya
29,57,18,28.594404,42.177303,6.447636,48.590533,mothbeans
82,59,19,25.046703,60.189059,6.196965,124.267745,maize
22,25,36,28.256459,45.845631,5.377555,86.549232,mango
93,27,48,27.470112,91.342891,6.139485,24.003878,muskmelon
14,57,10,29.345155,55.819202,6.614234,114.769745,pigeonpeas
21,43,18,27.398036,87.201285,6.707738,35.39252,mungbean
116,33,24,21.25726,59.907391,6.274864,181.248439,coffee
26,126,205,25.258588,81.695141,6.457355,68.288887,grapes
28,13,25,29.330529,98.525519,5.734587,132.44642,coconut
101,51,28,20.512285,82.316342,7.282375,99.938227,cotton
19,78,15,32.932284,67.214191,6.087036,146.062543,pigeonpeas
70,39,41,22.15398,79.696727,6.259395,268.745206,rice
8,140,205,23.085206,93.37436,5.771003,106.844083,apple
24,30,41,22.158266,88.836404,6.074053,98.674749,pomegranate
99,17,35,24.074812,41.450598,7.154737,171.00367,coffee
43,69,84,18.341335,19.024643,6.80818,92.106839,chickpea
127,67,20,19.662456,89.030753,6.438145,99.825721,cotton
67,68,35,22.655699,79.062392,5.935343,156.802841,jute
14,29,34,34.040478,62.426653,6.112599,80.976012,mango
93,77,48,26.489066,76.997487,6.070594,92.553337,banana
74,48,49,30.304358,90.00697,6.413613,121.176103,papaya
26,121,205,20.924354,95.630504,5.966253,127.750488,apple
47,39,71,23.176533,16.275649,7.339193,53.463861,chickpea
76,36,45,26.175633,76.468801,6.55092,230.452936,rice
11,77,8,27.38768,43.920905,6.256886,162.996359,pigeonpeas
10,49,17,27.286235,47.393517,6.290152,65.852494,mothbeans
14,33,25,25.794983,89.24991,6.121918,47.311256,mungbean
100,63,49,24.363935,76.353526,5.368198,186.331222,jute
22,18,26,18.975375,89.253623,6.383483,106.923401,pomegranate
18,124,205,24.540376,79.953004,5.962832,78.410589,grapes
24,55,25,25.038754,38.20984,6.760466,75.444632,mothbeans
65,42,39,24.438302,78.053819,6.497993,175.664081,jute
81,44,26,28.546401,78.067452,6.107356,85.289488,maize
23,17,34,24.442653,93.626058,5.367301,163.974299,coconut
94,66,14,24.005146,72.52617,5.534384,89.985852,maize
52,89,75,16.909935,21.695942,6.94725,63.922142,chickpea
107,81,50,28.727293,80.303873,5.548564,106.730667,banana
100,51,30,22.897559,81.116122,6.23677,239.192907,rice
19,10,40,25.128805,94.481597,6.025905,196.834609,coconut
72,70,38,23.507766,81.722462,6.571195,216.795051,jute
29,24,27,28.996416,36.054952,4.913671,108.063213,mango
84,11,44,27.607472,94.693254,5.890465,33.060449,muskmelon
19,128,205,21.837525,94.135544,5.898721,130.477445,apple
81,75,48,27.32684,78.082374,5.827418,88.135835,banana
28,67,21,21.017254,39.63149,5.798798,156.577065,pigeonpeas
28,72,19,28.435085,59.138365,7.675134,30.02346,blackgram
25,19,11,28.632541,95.16778,7.630288,96.809819,orange
45,87,89,17.811284,14.3,7.111164,61.411124,chickpea
98,23,50,27.059593,89.599327,6.340981,46.22323,watermelon
86,88,50,28.216272,76.887225,5.838648,111.979902,banana
13,131,178,22.190586,93.98758,6.016144,94.343827,apple
45,61,87,13.468326,21.736662,7.55522,68.462865,chickpea
110,28,29,27.867154,46.763416,7.065197,152.526705,coffee
30,59,22,21.640795,37.391476,6.594919,164.667519,pigeonpeas
18,19,7,22.574393,91.598928,7.589799,112.784041,orange
26,127,196,23.180176,89.271172,6.233226,98.212598,apple
22,16,27,28.21048,96.825886,5.479471,204.421787,coconut
44,45,59,36.117294,91.668439,6.604218,157.640928,papaya
116,16,36,25.08171,82.125748,6.34815,50.865487,watermelon
33,56,25,29.418901,57.824836,6.6701,77.980875,mothbeans
41,56,56,37.704982,90.849242,6.126168,201.99019,papaya
53,57,78,21.667702,15.450817,7.993006,55.886602,chickpea
17,9,41,24.14014,86.809375,5.861098,127.237686,pomegranate
46,61,81,18.953279,16.013559,7.002039,92.268345,chickpea
56,66,59,34.326286,92.815706,6.383199,138.024313,papaya
20,67,26,25.508186,60.103078,6.317978,38.420182,lentil
29,125,191,21.532311,92.566999,6.144597,139.785033,apple
14,18,50,19.775688,88.859729,6.03587,89.539241,pomegranate
45,80,81,20.182764,16.506229,6.50828,80.898989,chickpea
14,20,40,30.941343,49.633305,6.121973,118.512202,mango
56,63,83,16.230493,17.225679,7.487077,72.365546,chickpea
18,17,51,20.510237,93.029294,5.809495,85.964461,pomegranate
104,19,64,28.587944,86.942999,5.890561,67.56455,watermelon
31,83,23,18.436356,15.960227,6.307714,136.460395,kidneybeans
30,30,26,28.933366,87.592893,6.383647,42.378047,mungbean
128,11,45,24.494799,93.278261,7.15505,34.286949,muskmelon
86,24,38,26.63089,84.072049,6.574843,20.2,watermelon
26,62,24,22.43918,30.555777,6.015623,94.885066,kidneybeans
107,12,51,25.71362,92.380615,6.434943,20.2,muskmelon
25,36,40,33.56878,45.852637,5.209337,89.109658,mango
51,72,45,25.327019,87.110707,6.036975,202.235329,rice
49,54,20,31.76809,72.674786,7.103137,80.626712,blackgram
61,74,72,18.102365,16.123612,7.289391,90.057209,chickpea
114,88,48,23.581605,84.223321,6.593498,100.25028,banana
30,73,17,26.700687,57.426458,6.913316,62.839041,blackgram
24,67,29,29.828862,39.370389,5.202353,146.573645,pigeonpeas
46,59,52,36.516084,95.070948,6.264195,126.142648,papaya
34,52,15,29.357152,49.947105,6.051392,110.350771,pigeonpeas
26,46,15,30.648666,92.404906,6.907198,45.793753,mungbean
25,22,34,27.323477,96.92357,4.911735,244.27821,coconut
92,59,5,23.166421,79.510829,7.50834,89.282352,cotton
19,136,205,24.485658,80.439971,6.006705,74.491784,grapes
22,138,180,22.471592,89.57665,5.412825,113.519177,apple
25,52,17,23.019398,60.821165,7.075365,51.927729,lentil
110,85,56,26.497394,75.058123,6.423268,118.779677,banana
72,49,43,23.029834,80.175766,6.607654,186.725996,jute
21,143,201,22.540392,91.110654,5.881467,108.491424,apple
12,7,43,24.565579,88.581433,7.411971,101.483232,pomegranate
21,143,205,23.052608,92.987195,5.861211,127.19188,apple
20,30,22,27.307177,88.109225,6.706073,84.922324,mungbean
90,16,54,25.235011,93.898136,6.71247,21.977276,muskmelon
98,17,36,23.779795,56.094613,6.44629,188.305733,coffee
96,26,28,23.583801,63.957213,5.62552,165.274828,coffee
21,64,22,23.174005,40.373406,6.066003,169.462085,pigeonpeas
84,54,39,24.448037,77.312131,6.706415,150.965617,jute
20,64,24,21.202953,21.857679,5.40633,117.51016,kidneybeans
109,78,51,21.310687,85.39681,5.103234,93.631181,banana
87,45,20,23.877199,56.680753,6.220296,66.03064,maize
66,41,41,23.037669,77.679309,6.569795,178.586681,jute
52,62,15,20.49205,74.496242,6.35491,94.593855,maize
21,70,22,32.314058,60.596189,5.505364,190.535961,pigeonpeas
26,26,27,34.045376,52.57728,6.349794,99.495213,mango
19,65,15,20.009178,20.991058,5.085771,79.077667,kidneybeans
15,21,35,22.966078,88.278216,6.579931,123.104329,pomegranate
102,25,54,26.639507,85.416865,6.770798,52.234176,watermelon
43,68,18,32.267237,58.738612,7.141386,92.653123,blackgram
95,33,21,23.192688,67.919688,6.823871,57.763275,maize
81,47,42,25.444641,84.306228,6.494246,202.682725,rice
20,46,10,30.790219,62.07504,6.224423,67.055477,mothbeans
20,80,22,24.085031,21.440638,5.568221,80.935983,kidneybeans
16,17,28,30.532156,55.257731,5.390498,100.455104,mango
120,30,20,30.079834,79.251153,7.483664,82.320861,cotton
35,46,59,30.439992,96.804487,6.749383,170.736151,papaya
14,56,27,27.825148,50.400067,6.747829,43.27826,mothbeans
104,56,22,22.099304,77.45231,6.793123,50.836493,cotton
20,42,18,24.156857,87.607592,6.805707,46.511743,mungbean
30,18,10,22.473561,90.218692,6.96806,111.75018,orange
63,45,47,24.158973,77.024572,6.322518,194.761683,jute
42,63,19,30.739592,66.624616,7.089951,68.195651,blackgram
19,52,19,27.8933,80.618717,6.713603,38.894817,mungbean
101,26,25,24.287175,56.264828,6.769526,149.155513,coffee
120,82,45,27.556015,78.077389,6.243179,95.645096,banana
24,66,12,27.020058,31.533768,5.773048,174.222034,pigeonpeas
54,76,38,34.383278,93.310293,6.913592,117.67213,papaya
19,138,200,21.449627,90.63034,5.760014,120.53031,apple
18,22,41,19.35423,87.096056,7.376489,80.087122,pomegranate
77,48,12,27.752659,57.091271,6.296025,71.887689,maize
18,24,30,32.626218,34.353308,5.621343,106.871366,mango
27,20,25,24.143492,94.503643,6.043334,190.641177,coconut
19,130,197,22.76573,92.105308,6.047301,110.293249,apple
22,67,16,27.55964,73.577762,6.838401,57.625239,lentil
104,59,46,23.601847,80.939123,6.317967,183.852481,jute
13,39,17,29.540727,32.379013,6.687841,56.392137,mothbeans
22,71,21,21.197804,72.432681,6.706297,43.401722,lentil
23,17,36,25.643002,95.869408,5.993688,176.133308,coconut
48,59,15,31.440807,51.850665,6.002809,69.700916,blackgram
71,38,48,23.647,73.744772,6.76601,163.808912,jute
12,52,17,29.984918,82.783077,6.816379,25.064197,mungbean
123,49,29,26.808205,85.845132,6.909354,68.802166,cotton
102,17,61,23.169594,87.549467,6.605793,36.196976,watermelon
24,143,198,21.319707,91.213956,5.883231,109.807909,apple
29,134,205,24.284008,85.928166,6.117831,85.680672,grapes
24,21,32,27.484526,94.114564,5.504857,200.837561,coconut
24,145,196,27.08405,79.452271,5.965029,77.254022,grapes
107,22,51,26.330422,88.061281,6.572868,51.830782,watermelon
62,39,32,24.503423,82.85592,6.269591,219.697257,rice
21,31,38,34.954882,54.880171,5.060697,112.050972,mango
30,33,28,23.353713,47.53211,6.16841,95.88683,mango
73,33,32,24.579168,64.635036,7.199491,153.369335,coffee
16,11,52,20.816544,90.541894,5.939201,110.712208,pomegranate
102,78,56,30.022325,77.232031,6.342081,120.853747,banana
28,136,203,24.350513,83.186904,6.499999,65.559047,grapes
67,52,45,24.222183,79.695352,6.876328,218.351084,jute
23,25,10,22.18021,91.122547,6.584506,77.134238,orange
107,35,18,18.41588,78.809171,6.944507,81.317157,cotton
20,37,28,34.945029,56.750128,5.176226,123.574091,mango
45,61,43,34.017935,91.909385,6.631931,140.827878,papaya
95,16,43,29.152476,95.543747,6.646971,28.593932,muskmelon
31,51,19,27.206106,57.08312,7.278352,45.176354,mothbeans
68,45,37,27.828403,83.367811,6.830552,215.698776,jute
32,63,72,18.296856,14.3,7.479087,83.199406,chickpea
10,33,14,31.154728,41.406309,7.599269,39.971984,mothbeans
23,17,42,20.167625,92.572309,6.27967,130.403833,pomegranate
96,13,40,22.077598,80.602205,6.895091,39.702499,watermelon
29,40,15,32.221952,49.077793,7.266217,28.216338,mothbeans
111,37,11,29.037025,86.531554,6.504338,58.660997,cotton
55,65,49,35.782364,93.763987,7.044274,142.499183,papaya
108,15,54,21.63203,85.726722,6.576089,56.670575,watermelon
28,61,21,28.557622,72.434458,7.369778,44.75062,mothbeans
59,33,27,27.884775,85.886284,6.628239,276.362601,rice
17,14,34,25.524093,95.728935,5.974159,169.285073,coconut
33,50,15,23.590516,84.720567,7.639337,38.304604,mothbeans
27,53,23,29.932144,36.30817,6.25069,56.936983,mothbeans
78,60,17,25.707147,66.791313,6.333696,108.008278,maize
54,50,43,23.273106,77.763146,6.158406,256.886191,rice
93,41,17,18.009527,64.499255,6.041796,51.728772,maize
18,20,33,26.150455,98.156111,5.573685,198.224764,coconut
22,23,6,25.636922,95.557148,6.895288,117.06059,orange
25,12,40,20.000026,83.728022,6.395394,109.926154,pomegranate
19,65,23,21.722793,17.546777,6.058826,97.971715,kidneybeans
104,8,53,24.533572,87.381514,6.673705,60.726281,watermelon
18,58,10,29.188108,74.149974,7.173703,37.506772,mungbean
41,72,20,33.108441,54.512297,7.314171,26.912897,blackgram
95,54,46,22.045538,77.208488,6.231606,231.669188,rice
103,39,29,24.695997,72.792315,7.070575,173.798293,rice
135,67,14,22.758428,75.093207,7.534272,69.960935,cotton
99,54,23,24.324213,82.673326,6.945055,103.40032,cotton
17,75,10,23.837156,26.576165,5.906287,138.160683,pigeonpeas
5,16,18,23.856572,95.131672,7.038011,106.940316,orange
48,70,22,28.533103,66.272991,7.952296,65.410563,blackgram
20,71,12,22.004233,63.49837,6.630484,52.066694,lentil
95,86,46,28.223906,88.776627,5.984029,105.940929,banana
14,29,20,34.535573,48.179001,6.254248,98.360676,mango
116,63,21,26.52068,53.88342,6.469378,86.391607,maize
21,145,201,23.344163,91.780558,6.176744,117.414011,apple
24,6,36,22.110714,86.595467,6.21792,124.460902,pomegranate
15,26,37,34.394642,40.940674,5.640622,107.372483,mango
119,35,22,21.67326,77.057782,6.944427,79.335866,cotton
27,27,18,31.286363,84.505537,7.141573,20.2,mungbean
24,58,16,22.327359,36.029784,6.786271,164.344987,pigeonpeas
48,77,81,18.556379,21.077396,6.44573,72.856687,chickpea
21,125,205,22.687801,93.397401,6.126555,116.250757,apple
75,26,32,26.91216,29.818398,7.285954,146.725886,coffee
23,78,23,30.663698,48.224993,6.153039,153.365636,pigeonpeas
72,39,39,24.954354,80.528249,6.38375,218.960921,jute
